prompt_id,prompt,ref_image
LN1,"The image shows that there are three buses , a car and a lorry are on the road. Here we can see buildings , windows and air conditioners. Here we can see a street light and this is a tree.",LN/000000220732.jpg
LN2,"In this picture there is a boy on the surfing board, surfing on the water. We can observe a ocean here.",LN/000000051976.jpg
LN3,"In this picture, we see a bowl containing the chopped apples and broccoli. In the background, we see a white table on which seeds or grains, broccoli, piece of fruit, water glass and plates are placed. This table is covered with a white and blue color cloth. This picture is blurred in the background.",LN/000000551660.jpg
LN4,"In this picture we can see a man wore jacket, spectacle holding mobile in one hand and in front of him on table we have cup, saucer and in the background we can see screen, pole, tree.",LN/000000285047.jpg
LN5,In the image there is food on the plate.,LN/000000034205.jpg
LN6,"In this picture there is a truck which has three portions divided and around there are some trees, plants on the road.",LN/000000205647.jpg
LN7,"In this picture we can see two similar bottles with spices init,. Here we can see a bottle with liquid in it. These are leaves in green colour. Here we can see a black bowl and powder in it. Here we can see two spoons and different pulses in spoons. This is a machine, mixer.",LN/000000300233.jpg
LN8,"In this image there a teddy bear toy having tie, chain, mask to it is sitting on violet colour sofa.",LN/000000253433.jpg
LN9,"In this picture we can see animals with large horns, eating grass. Here we can see fence.",LN/000000118594.jpg
LN10,In this image i can see a giraffe and some birds on the giraffe and at the right side of the image there is a tree and at the background of the image there is a clear sky and trees.,LN/000000216739.jpg
LN11,In this image I can see view poles and few wires. Here I can see a teddy bear on this fencing and in the background and I can see a tree. I can also see clear view of sky.,LN/000000549136.jpg
LN12,"There is a number of vehicles. There is a pole. The pole has a wires. We can see in the background trees,sky,clouds.",LN/000000198805.jpg
LN13,In this image there is a television screen on top of it there is a cat on red colour cloth. At the left side of image there is a sound speaker having phone on it. At the right side there is a rack having books in it. To the wall there is a canvas attached to it.,LN/000000357941.jpg
LN14,"In this picture we can see two women standing in front, the woman on the right side of image is carrying something and holding a tennis bat, she is shouting something as you can see her mouth, there are four persons walking in sand, in the background we can see a vehicle some other plants here, we can also see some hills in the background, behind the vehicle there is flag and we can also see a room behind it.",LN/000000033221.jpg
LN15,"In this picture we can see one person is standing and talking with the microphone in front of the desk, side we can see on a table covered with white cloth, on it we have flower, bottles, glasses. beside the table they is a display board.",LN/000000313454.jpg
LN16,In the center of the image there is a scissor placed on the wooden boxes.,LN/000000161008.jpg
LN17,"In this picture there is a powder on a glass bowl, pulses and food in 2 spoons, leafs, oil can, jars , and a grinder on a table.",LN/000000300233.jpg
LN18,"In this image we can see a bench on the road. Here is the grass, here is the tree, where are the cars, and here is the building.",LN/000000327890.jpg
LN19,In this image I can see a person is holding a teddy bear and a pencil.,LN/000000435205.jpg
LN20,"A man with grey t-shirt is standing and he is smiling. He kept a red color Christmas cap on his head. To the left there is a dog. Behind them there is a Christmas tree with some decorations with lightnings, balls, stars and some bulbs on it.",LN/000000117525.jpg
LN21,In the foreground and middle there are group of people crossing the road. In the middle traffic pole is visible and a board visible. In the background buildings are visible and cars are moving on the road. In the left top tree is visible. On the top sky visible. This image is taken during a sunny day.,LN/000000183709.jpg
LN22,In this image i can see a red color cycle which is tied to a pole which is of black color and at the background of the image there is wall and some flowers.,LN/000000370208.jpg
LN23,"As we can see in the image there is a table. On table there is a plate, fork and bowl. In bowl and plate there are food items.",LN/000000008277.jpg
LN24,There is a plate and a bowl which has some eatables placed on it which is on the table.,LN/000000030785.jpg
LN25,"In this image there are electronic devices and there is a person standing, there is a wall and there is an object which looks like a pole. In the background there is an object which looks like a tin wall.",LN/000000459954.jpg
LN26,"In this picture there are three plates and in the one plate there is a liquid curry in it and in the other plate there is steak placed along with carrot. In the other plate there are chocolate ,oranges and pistachios.",LN/000000567898.jpg
LN27,"This is the picture of two ladies who are wearing the hats and standing in front of the table on which there is a cake, candle, cup cakes and behind there is a plant, cylinder and pole.",LN/000000140640.jpg
LN28,"Here there are person standing,this person is sitting another persons are sitting on the chair and here there is barrier ,this person is wearing helmet,shoes,clothes and here there is grass and here woman is standing wearing hat.",LN/000000281409.jpg
LN29,"In this picture we can see couple of trees, vehicles, hoardings, buildings and poles, and also we can see a tower and clouds.",LN/000000015517.jpg
LN30,In the center of the image there is a hotdog placed on the table. There is a confetti on the table.,LN/000000311950.jpg
LN31,This is a bicycle and lock is on it. In the background there is a train and a person and this is floor.,LN/000000492937.jpg
LN32,"This picture is taken on the road side, there is a road which is in black color, there are some people riding the bikes, in the background there is a white color fence and there is a black color pole, there is a sun which is in yellow color and there is a sky which is in white color.",LN/000000534827.jpg
LN33,"Here a boy is throwing cap. In the background there are few kids,grass,poles and a cloth on the pole.",LN/000000261036.jpg
LN34,These are the bicycles with wheels arranged in an order. This bicycle is painted pink in color. I can see flowers and leaves decorated to the handle. I can see another bicycle hanging to the wall. These are the goggles placed in an order. At background i can see man sitting and woman walking. This is a glass door with door handle. This looks like a wooden floor.,LN/000000055022.jpg
LN35,"In this picture we can see a train with windows, door and aside to this train we have bus, car, truck, traffic cone on road and aside to this road we have a man walking on foot path and in the background we can see building with windows, trees, sky with clouds.",LN/000000220732.jpg
LN36,There is a plane which is white in color and written express on it is flying in air and there is a pole which has some wires attached to it is beside it and the sky is a bit cloudy.,LN/000000383621.jpg
LN37,"In this picture, we see many people standing. In front of the picture, man in grey t-shirt is holding mobile phone in his hands and clicking photo in it. In front of them, we see a black board in which ""Garnier"" is written. Man on the right corner of the picture wearing black t-shirt and white and yellow helmet ice skating.",LN/000000026690.jpg
LN38,To the left side there is man with black jacket is sitting on the sofa. Beside him there is a pillow. In the middle there is a lady with violet and grey color t-shirt is standing and holding a white color object in her hand. Beside her there is a kid with blue jacket holding a white object. Backside on the wall there is a yellow surfboard. To the left side there is a table with many items on it. Beside the table there is a clock. And on the top there is a star.,LN/000000512657.jpg
LN39,"In this image we can see a chair on which some things are placed, wall, curtains, door, another room, bed with pillows and a photo frames.",LN/000000415741.jpg
LN40,The person is standing and holding a white skateboard and a black stick in his hand and there is a port and a sea beside him.,LN/000000074457.jpg
LN41,"In this picture there is a wash basin and it has a tap attached to it, there is a shelf here, some napkins are placed on the rod, there is a opening on top of it. There is a dustbin on to the left side.",LN/000000164637.jpg
LN42,"In this image we can a man standing on the ground, and wearing the uniform, and at side here is the grass.",LN/000000130579.jpg
LN43,Bottom left side of the image a man is standing and holding a camera. In the middle of the image few people are standing on the road and holding some banners in their hands. Top left side of the image few people are standing and walking. Top right side of the image there are few vehicles and poles.,LN/000000100723.jpg
LN44,"The picture is clicked in the backyard of a house. In the foreground there is a table and chairs around it. In the center there is an umbrella and tree. On the right there is a house, the house there is a door and windows. On the left there are plants and buildings. In the center there is grass and a light.",LN/000000233033.jpg
LN45,"There are steel spoons which are connected with a box which is on the floor. In the background, there is a white color wall, a jar and other materials.",LN/000000066841.jpg
LN46,"As we can see in the image there are few people here and there. On the left side there is a woman wearing red color dress, a fence and the women who is sitting over here is wearing a black color helmet. There is a yellow color ball. On the right side there is a women holding baseball bat and there is a blue color umbrella. In the background there is house.",LN/000000132544.jpg
LN47,"In this image there are two persons riding on a horse. In the front the woman wearing a black colour dress and black colour helmet is riding a horse and there is a grass in the ground. In the background there are trees and a mirror in which the reflections of these persons are reflecting in the mirror, there is one chair which is white in colour and a car, and at the left side in the mirror there is a reflection of the person wearing red colour t-shirt and black colour helmet riding a horse.",LN/000000303653.jpg
LN48,Here we can see four persons are playing tennis. This is ground and there is a mesh. There is a man standing on the ground. There is a bottle and this is bin. In the background there is a fence and these are the trees. Here we can see sky with clouds.,LN/000000440184.jpg
LN49,He is standing on a ground. He is holding a tennis racket. He is wearing a ribbon. There is a banner on the ground. The two persons are sitting on a background.,LN/000000323895.jpg
LN50,"In this picture we can see full of grass and trees, they is one bench placed on a grass.",LN/000000314541.jpg
LN51,In the picture a person is standing in the ground.,LN/000000552842.jpg
LN52,"In this image there is a person standing , and playing a tennis game and at the back ground there are balls, baskets, in , trees.",LN/000000205105.jpg
LN53,"In this image I can see few chairs and a table. On this table I can see few fruits, flowers and few bowls. In the background I can see a door, few utensils, lights, windows and here I can see a refrigerator.",LN/000000575970.jpg
LN54,"In this picture there is one aeroplane in the sky where it is in white and red colour. Where a person is sitting inside a plane and wearing red dress, helmet",LN/000000144114.jpg
LN55,"I can see in this image, a dog is standing and a cat is sitting on the table. I can also see there are few pots of plants on the table. In the background I can see there is a fence and a pillar.",LN/000000022892.jpg
LN56,A girl is sitting in a train and holding a donuts in a plate with her hands. She is smiling behind her few men are standing at the top there are lights beside her it's a glass window.,LN/000000038678.jpg
LN57,This is the picture of a street where we have a restaurant and other building to the side and in front of the building there are some people walking on the road and there are some boards on the roads.,LN/000000502336.jpg
LN58,"In this picture, we see a suitcase which is grey in color. Behind that, there is a sofa and behind that, there is a white wall. Beside suitcase, there is a table on which bottle and cloth are placed. Behind that, we see a wall in brown color.",LN/000000112626.jpg
LN59,In this image at the left side person is doing a skating on the wall. And in the center on the floor there is a shadow reflection of this person.,LN/000000327306.jpg
LN60,In this picture we see ground on which a bench is present. On the bench a large bed sheet is placed. In the background there is ground containing grass visible.,LN/000000350607.jpg
LN61,"This is the picture taken in a room. The man in grey t shirt was dancing on the floor. Behind the man there are bottles. In front of the man there is a television, speakers and a wall with photos. Beside the man there is a house plants, bag, curtains and a door.",LN/000000565853.jpg
LN62,"In the image we can see there is a cat who is standing on the car and there is a garage area, bicycle which is attached to the wall and there are cardboard box, table lamp and cylinders and the wardrobe is made up of wood.",LN/000000010363.jpg
LN63,There are four yellow dolls which has a silver crown placed on their heads.,LN/000000370900.jpg
LN64,I can see in this image there are couple of skateboards on the ground. On the right side I can see there is a umbrella and wooden stick.,LN/000000127517.jpg
LN65,"As we can see in the image on the left side there are trees, current polls, traffic signal, a house, sign pole. In the front there is a white color metro and on the top there is sky.",LN/000000057149.jpg
