prompt_id,prompt,ref_image
MS1,Man playing tennis in motion with crowd and tennis court,COCO/COCO_val2014_000000033116.jpg
MS2,A motorcycle with a side satchel compartment sitting in a parking lot.,COCO/COCO_val2014_000000023369.jpg
MS3,An elephant raising his trunk into the trees.,COCO/COCO_val2014_000000126345.jpg
MS4,A giraffe stands in the field as the sun goes down.,COCO/COCO_val2014_000000207797.jpg
MS5,A man is petting one of the cows outside. ,COCO/COCO_val2014_000000414228.jpg
MS6,a person riding a bicycle near a river of water,COCO/COCO_val2014_000000056752.jpg
MS7,People are walking down the street near several businesses.,COCO/COCO_val2014_000000156759.jpg
MS8,A man standing behind a bench with something in his hands.,COCO/COCO_val2014_000000104340.jpg
MS9,A man holding a birthday cake in a pan with friends. ,COCO/COCO_val2014_000000102872.jpg
MS10,The bedroom opens up into a large bathroom.,COCO/COCO_val2014_000000032779.jpg
MS11,Hot dogs and hamburgers being cooked on a gas grill.,COCO/COCO_val2014_000000260230.jpg
MS12,Black and white photograph of horned sheep by a large rock,COCO/COCO_val2014_000000264909.jpg
MS13,Person standing between two very large bears dressed formally. ,COCO/COCO_val2014_000000227801.jpg
MS14,Beach goers set up umbrellas next to rental signs while a cop watches.,COCO/COCO_val2014_000000319369.jpg
MS15,A man in a baseball cap flying a kite.,COCO/COCO_val2014_000000104796.jpg
MS16,"A women is holding a baby next to a dog, a patio table, and a pool.",COCO/COCO_val2014_000000539238.jpg
MS17,A bicycle leaning against a white window with two cats in it.,COCO/COCO_val2014_000000020307.jpg
MS18,Vase with floral display on counter at visitors desk.,COCO/COCO_val2014_000000242968.jpg
MS19,A person holding a tray with a doughnut in it.,COCO/COCO_val2014_000000455946.jpg
MS20,Cars move along a busy freeway under overcast skies. ,COCO/COCO_val2014_000000568687.jpg
MS21,A floating toilet has the seat up next to a toilet paper holder in a bathroom.,COCO/COCO_val2014_000000493205.jpg
MS22,A woman is taking a bite out of a hotdog.,COCO/COCO_val2014_000000567340.jpg
MS23,A group of firefighters are riding in a firetruck.,COCO/COCO_val2014_000000062251.jpg
